SCRIP CODE,NAME OF COMPANY
540874,7Seas Entertainment Ltd
538351,A.F. Enterprises Ltd
531611,Aadhaar Ventures India Ltd
542377,Aar Shyam India Investment Company Ltd
526488,AARV Infratel Ltd
513119,ABC Gas International Ltd
532682,ABG Shipyard Ltd
538952,Abhinav Leasing & Finance Ltd
532831,Abhishek Corporation Ltd
538935,Abhishek Finlease Ltd
539544,Abhishek Infraventures Ltd
511756,Abirami Financial Services India Ltd
539661,Ace Men Engg Works Ltd
538570,Achal Investments Ltd
530901,ACIL Cotton Industries Ltd
513149,Acrow India Ltd
511706,Action Financial Services India Ltd
538563,Adarsh Mercantile Ltd
526711,Adarsh Plant Protect Ltd
539493,Adharshila Capital Services Ltd
514113,Adinath Textiles Ltd
534707,Aditri Industries Ltd
523120,Ador Multiproducts Ltd
506947,Advance Petrochemicals Ltd
531047,Advance PowerInfra Tech Ltd
517552,Advanced Micronic Devices Ltd
516020,Agio Paper & Industries Ltd
511692,Ajcon Global Services Ltd
526628,Ajwa Fun World & Resort Ltd
533602,Lesha Industries Ltd
526707,Alchemist Ltd
531156,Alfavision Overseas India Ltd
531581,Alka Diamond Industries Ltd
532166,Alka Securities Ltd
530715,Alps Industries Ltd
538423,Alps Motor Finance Ltd
512008,Amani Trading & Exports Ltd
538465,Amarnath Securities Ltd
521076,Amit Spinning Industries Ltd
531681,Amradeep Industries Ltd
531252,Aneri Fincap Ltd
530721,ANG Industries Ltd
531673,Anka India Ltd
532870,Ankit Metal & Power Ltd
539697,Anubhav Industrial Resources Ltd
500014,Apple Finance Ltd
539469,Apunka Invest Commercial Ltd
512344,Aravali Securities & Finance Ltd
530261,Arcuttipore Tea Company Ltd
504370,Ardi Investments & Trading Company Ltd
530787,Inland Printers Ltd
538556,Arman Holdings Ltd
522134,Artson Engineering Ltd
500016,Aruna Hotels Ltd
542176,Aryan Share and Stock Brokers Ltd
514482,Asahi Industries Ltd
519174,Ashiana Agro Industries Ltd
526847,Ashirwad Steels & Industries Ltd
531568,Ashutosh Paper Mills Ltd
530899,Asia Pack Ltd
531392,Asian Flora Ltd
524434,Asian Petroproducts & Exports Ltd
506159,Asis Logistics Ltd
540788,Aspira Pathlab & Diagnostics Ltd
530187,Atharv Enterprises Ltd
517429,Athena Global Technologies Ltd
511427,ATN International Ltd
500030,Autoriders Finance Ltd
512109,Aviva Industries Ltd
531541,Avon Lifesciences Ltd
512063,Ayoki Mercantile Ltd
536965,B. P. Capital Ltd
531268,B2B Software Technologies Ltd
524516,Bacil Pharma Ltd
530197,Bagadia Colourchem Ltd
519353,Bansisons Tea Industries Ltd
513502,Baroda Extrusion Ltd
532336,Baron Infotech Ltd
532645,Beeyu Overseas Ltd
508664,Best Eastern Hotels Ltd
511698,Bhagyashree Leasing & Finance Ltd
534740,Bhanot Construction & Housing Ltd
539115,Alan Scott Industries Ltd
531590,Bilpower Ltd
535620,Binny Mills Ltd
538364,Birdhi Chand Pannalal Agencies Ltd
533006,Birla Cotsyn (India) Ltd
531671,Bisil Plast Ltd
526709,Bits Ltd
519500,BKV Industries Ltd
526225,Bloom Dekor Ltd
513422,Bloom Industries Ltd
531936,Blue Chip India Ltd
508939,Blue Circle Services Ltd
539607,Blue Cloud Softech Solutions Ltd
514440,Blue Pearl Texspin Ltd
531713,Bluechip Stockspin Ltd
530809,BNR Udyog Ltd
502216,Bombay Potteries & Tiles Ltd
523133,Bonanza Industries Ltd
539274,Boston Leasing and Finance Ltd
536820,Boston Teknowsys (India) Ltd
531203,Brand Realty Services Ltd
530249,Bridge Securities Ltd
532113,Brijlaxmi Leasing & Finance Ltd
504643,BWL Ltd
532386,California Software Company Ltd
526652,Cals Refineries Ltd
539304,Canopy Finance Ltd
507486,Caprolactam Chemicals Ltd
531621,Centerac Technologies Ltd
501827,Central Provinces Railways Company Ltd
539600,Chamak Holdings Ltd
540829,Chandrima Mercantiles Ltd
531327,Charms Industries Ltd
504671,Chase Bright Steel Ltd
539011,Chennai Ferrous Industries Ltd
521244,Chitradurga Spintex Ltd
539335,CHPL Industries Ltd
531283,Cindrella Financial Services Ltd
530457,Cinerad Communications Ltd
531775,CISTRO Telelink Ltd
531235,Citi Port Financial Services Ltd
514366,Citizen Yarns Ltd
521210,Cityman Ltd
540310,Classic Filaments Ltd
512018,CNI Research Ltd
508571,Cochin Malabar Estates & Industries Ltd
524752,Combat Drugs Ltd
532342,Commex Technology Ltd
